date,Voltage,Balance,Max Cell,Min Cell,Diff V,Max T,Min T,Diff T,Vrack[V],lrack[A],SOC[%],Relay,FAN,BMS MODE,dianostic
2024-02-13_16:56:21,40.000 V,0x5577aa,3.820 V,3.201 V,0.619 V,1 ¡ÆC,-33 ¡ÆC,34 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,42.600 V,0x6688bb,3.901 V,3.310 V,0.591 V,9 ¡ÆC,-31 ¡ÆC,40 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,42.900 V,0x7799cc,3.863 V,3.422 V,0.441 V,4 ¡ÆC,-36 ¡ÆC,40 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,40.200 V,0x88aadd,3.894 V,3.430 V,0.464 V,3 ¡ÆC,-33 ¡ÆC,36 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,40.200 V,0x99bbee,3.828 V,3.225 V,0.603 V,7 ¡ÆC,-40 ¡ÆC,47 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,44.000 V,0x5577aa,3.865 V,3.296 V,0.569 V,9 ¡ÆC,-40 ¡ÆC,49 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,43.800 V,0x6688bb,3.935 V,3.448 V,0.487 V,5 ¡ÆC,-32 ¡ÆC,37 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,41.700 V,0x7799cc,3.855 V,3.423 V,0.432 V,6 ¡ÆC,-33 ¡ÆC,39 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:21,41.500 V,0x88aadd,3.869 V,3.238 V,0.631 V,6 ¡ÆC,-33 ¡ÆC,39 ¡ÆC,971,-462.6,61.6,ON,ON,Fault ,9029
2024-02-13_16:56:25,40.600 V,0x5577aa,3.982 V,3.374 V,0.608 V,4 ¡ÆC,-38 ¡ÆC,42 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,44.000 V,0x6688bb,3.934 V,3.417 V,0.517 V,9 ¡ÆC,-40 ¡ÆC,49 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,40.100 V,0x7799cc,3.878 V,3.351 V,0.527 V,9 ¡ÆC,-39 ¡ÆC,48 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,41.200 V,0x88aadd,3.902 V,3.494 V,0.408 V,6 ¡ÆC,-37 ¡ÆC,43 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,44.700 V,0x99bbee,3.964 V,3.466 V,0.498 V,3 ¡ÆC,-35 ¡ÆC,38 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,40.900 V,0x5577aa,3.863 V,3.444 V,0.419 V,3 ¡ÆC,-37 ¡ÆC,40 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,41.000 V,0x6688bb,3.809 V,3.241 V,0.568 V,5 ¡ÆC,-32 ¡ÆC,37 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,43.900 V,0x7799cc,3.931 V,3.520 V,0.411 V,9 ¡ÆC,-38 ¡ÆC,47 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,44.000 V,0x88aadd,3.920 V,3.312 V,0.608 V,9 ¡ÆC,-34 ¡ÆC,43 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,44.100 V,0x99bbee,3.854 V,3.529 V,0.325 V,0 ¡ÆC,-36 ¡ÆC,36 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,42.500 V,0x5577aa,3.841 V,3.546 V,0.295 V,4 ¡ÆC,-36 ¡ÆC,40 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,44.000 V,0x6688bb,3.939 V,3.441 V,0.498 V,8 ¡ÆC,-34 ¡ÆC,42 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,43.200 V,0x7799cc,3.947 V,3.206 V,0.741 V,5 ¡ÆC,-37 ¡ÆC,42 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,40.000 V,0x88aadd,3.905 V,3.378 V,0.527 V,8 ¡ÆC,-32 ¡ÆC,40 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,42.000 V,0x99bbee,3.934 V,3.290 V,0.644 V,6 ¡ÆC,-34 ¡ÆC,40 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,42.800 V,0x5577aa,3.827 V,3.513 V,0.314 V,8 ¡ÆC,-33 ¡ÆC,41 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,41.900 V,0x6688bb,3.898 V,3.417 V,0.481 V,1 ¡ÆC,-32 ¡ÆC,33 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,42.000 V,0x7799cc,3.810 V,3.304 V,0.506 V,9 ¡ÆC,-39 ¡ÆC,48 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:25,40.800 V,0x88aadd,3.814 V,3.360 V,0.454 V,5 ¡ÆC,-32 ¡ÆC,37 ¡ÆC,950,-468.2,23.1,ON,ON,Fault ,9029
2024-02-13_16:56:27,40.300 V,0x5577aa,3.844 V,3.336 V,0.508 V,8 ¡ÆC,-31 ¡ÆC,39 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,43.500 V,0x6688bb,3.917 V,3.589 V,0.328 V,2 ¡ÆC,-32 ¡ÆC,34 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,42.900 V,0x7799cc,3.898 V,3.573 V,0.325 V,8 ¡ÆC,-38 ¡ÆC,46 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,41.400 V,0x88aadd,3.909 V,3.291 V,0.618 V,7 ¡ÆC,-36 ¡ÆC,43 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,44.500 V,0x99bbee,3.965 V,3.363 V,0.602 V,6 ¡ÆC,-32 ¡ÆC,38 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,42.700 V,0x5577aa,3.977 V,3.238 V,0.739 V,2 ¡ÆC,-37 ¡ÆC,39 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,42.500 V,0x6688bb,3.879 V,3.279 V,0.600 V,4 ¡ÆC,-36 ¡ÆC,40 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,40.900 V,0x7799cc,3.803 V,3.470 V,0.333 V,7 ¡ÆC,-36 ¡ÆC,43 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,42.900 V,0x88aadd,3.821 V,3.518 V,0.303 V,7 ¡ÆC,-37 ¡ÆC,44 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,43.400 V,0x99bbee,3.891 V,3.421 V,0.470 V,4 ¡ÆC,-37 ¡ÆC,41 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,41.200 V,0x5577aa,3.905 V,3.429 V,0.476 V,6 ¡ÆC,-40 ¡ÆC,46 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,44.400 V,0x6688bb,3.859 V,3.257 V,0.602 V,1 ¡ÆC,-37 ¡ÆC,38 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,40.200 V,0x7799cc,3.841 V,3.387 V,0.454 V,6 ¡ÆC,-35 ¡ÆC,41 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,40.500 V,0x88aadd,3.932 V,3.310 V,0.622 V,8 ¡ÆC,-37 ¡ÆC,45 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,43.000 V,0x99bbee,3.819 V,3.488 V,0.331 V,5 ¡ÆC,-36 ¡ÆC,41 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,42.900 V,0x5577aa,3.838 V,3.354 V,0.484 V,0 ¡ÆC,-40 ¡ÆC,40 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,40.700 V,0x6688bb,3.940 V,3.411 V,0.529 V,4 ¡ÆC,-36 ¡ÆC,40 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,40.900 V,0x7799cc,3.970 V,3.529 V,0.441 V,5 ¡ÆC,-38 ¡ÆC,43 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:27,43.000 V,0x88aadd,3.878 V,3.529 V,0.349 V,2 ¡ÆC,-40 ¡ÆC,42 ¡ÆC,1083,-456.8,74.2,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.000 V,0x5577aa,3.877 V,3.535 V,0.342 V,8 ¡ÆC,-37 ¡ÆC,45 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,44.100 V,0x6688bb,3.820 V,3.301 V,0.519 V,3 ¡ÆC,-33 ¡ÆC,36 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.400 V,0x7799cc,3.870 V,3.563 V,0.307 V,0 ¡ÆC,-37 ¡ÆC,37 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,41.700 V,0x88aadd,3.852 V,3.284 V,0.568 V,1 ¡ÆC,-32 ¡ÆC,33 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.000 V,0x99bbee,3.916 V,3.422 V,0.494 V,6 ¡ÆC,-32 ¡ÆC,38 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,41.100 V,0x5577aa,3.988 V,3.406 V,0.582 V,0 ¡ÆC,-33 ¡ÆC,33 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,42.300 V,0x6688bb,3.976 V,3.483 V,0.493 V,4 ¡ÆC,-37 ¡ÆC,41 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,44.800 V,0x7799cc,3.917 V,3.465 V,0.452 V,1 ¡ÆC,-33 ¡ÆC,34 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.600 V,0x88aadd,3.807 V,3.299 V,0.508 V,8 ¡ÆC,-31 ¡ÆC,39 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,42.200 V,0x99bbee,3.873 V,3.298 V,0.575 V,3 ¡ÆC,-34 ¡ÆC,37 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.500 V,0x5577aa,3.829 V,3.322 V,0.507 V,2 ¡ÆC,-31 ¡ÆC,33 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.700 V,0x6688bb,3.848 V,3.381 V,0.467 V,4 ¡ÆC,-31 ¡ÆC,35 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,41.200 V,0x7799cc,3.817 V,3.594 V,0.223 V,3 ¡ÆC,-40 ¡ÆC,43 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,42.000 V,0x88aadd,3.828 V,3.302 V,0.526 V,7 ¡ÆC,-33 ¡ÆC,40 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,43.500 V,0x99bbee,3.827 V,3.237 V,0.590 V,4 ¡ÆC,-32 ¡ÆC,36 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,43.200 V,0x5577aa,3.809 V,3.234 V,0.575 V,9 ¡ÆC,-40 ¡ÆC,49 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,42.300 V,0x6688bb,3.816 V,3.382 V,0.434 V,9 ¡ÆC,-34 ¡ÆC,43 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,41.200 V,0x7799cc,3.813 V,3.589 V,0.224 V,0 ¡ÆC,-31 ¡ÆC,31 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:40,40.000 V,0x88aadd,3.828 V,3.430 V,0.398 V,4 ¡ÆC,-35 ¡ÆC,39 ¡ÆC,1087,-481.0,28.1,ON,ON,Fault ,9029
2024-02-13_16:56:42,44.700 V,0x5577aa,3.858 V,3.446 V,0.412 V,1 ¡ÆC,-38 ¡ÆC,39 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,41.700 V,0x6688bb,3.854 V,3.311 V,0.543 V,4 ¡ÆC,-35 ¡ÆC,39 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,43.600 V,0x7799cc,3.874 V,3.284 V,0.590 V,0 ¡ÆC,-35 ¡ÆC,35 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,44.400 V,0x88aadd,3.963 V,3.484 V,0.479 V,7 ¡ÆC,-31 ¡ÆC,38 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,43.600 V,0x99bbee,3.843 V,3.263 V,0.580 V,7 ¡ÆC,-37 ¡ÆC,44 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,40.200 V,0x5577aa,3.929 V,3.265 V,0.664 V,5 ¡ÆC,-31 ¡ÆC,36 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,40.900 V,0x6688bb,3.854 V,3.442 V,0.412 V,6 ¡ÆC,-39 ¡ÆC,45 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,44.700 V,0x7799cc,3.992 V,3.379 V,0.613 V,6 ¡ÆC,-36 ¡ÆC,42 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,42.400 V,0x88aadd,3.903 V,3.290 V,0.613 V,2 ¡ÆC,-37 ¡ÆC,39 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,40.700 V,0x99bbee,3.863 V,3.223 V,0.640 V,4 ¡ÆC,-35 ¡ÆC,39 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,43.700 V,0x5577aa,3.866 V,3.211 V,0.655 V,8 ¡ÆC,-36 ¡ÆC,44 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,40.100 V,0x6688bb,3.908 V,3.291 V,0.617 V,4 ¡ÆC,-32 ¡ÆC,36 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,44.800 V,0x7799cc,3.841 V,3.339 V,0.502 V,6 ¡ÆC,-37 ¡ÆC,43 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,41.400 V,0x88aadd,3.930 V,3.394 V,0.536 V,1 ¡ÆC,-40 ¡ÆC,41 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,40.900 V,0x99bbee,3.819 V,3.488 V,0.331 V,1 ¡ÆC,-36 ¡ÆC,37 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,41.300 V,0x5577aa,3.855 V,3.341 V,0.514 V,1 ¡ÆC,-32 ¡ÆC,33 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,40.300 V,0x6688bb,3.949 V,3.356 V,0.593 V,1 ¡ÆC,-33 ¡ÆC,34 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,41.500 V,0x7799cc,3.932 V,3.387 V,0.545 V,4 ¡ÆC,-32 ¡ÆC,36 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:42,43.200 V,0x88aadd,3.984 V,3.574 V,0.410 V,4 ¡ÆC,-38 ¡ÆC,42 ¡ÆC,1063,-466.5,14.4,ON,ON,Fault ,9029
2024-02-13_16:56:48,44.200 V,0x5577aa,3.929 V,3.596 V,0.333 V,2 ¡ÆC,-33 ¡ÆC,35 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,43.200 V,0x6688bb,3.891 V,3.365 V,0.526 V,0 ¡ÆC,-37 ¡ÆC,37 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,44.800 V,0x7799cc,3.955 V,3.402 V,0.553 V,5 ¡ÆC,-33 ¡ÆC,38 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,44.400 V,0x88aadd,3.892 V,3.560 V,0.332 V,0 ¡ÆC,-35 ¡ÆC,35 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,44.500 V,0x99bbee,3.952 V,3.574 V,0.378 V,9 ¡ÆC,-39 ¡ÆC,48 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,42.800 V,0x5577aa,3.806 V,3.373 V,0.433 V,2 ¡ÆC,-39 ¡ÆC,41 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,42.000 V,0x6688bb,3.857 V,3.318 V,0.539 V,6 ¡ÆC,-31 ¡ÆC,37 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,41.800 V,0x7799cc,3.859 V,3.384 V,0.475 V,2 ¡ÆC,-38 ¡ÆC,40 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,43.900 V,0x88aadd,3.841 V,3.243 V,0.598 V,0 ¡ÆC,-38 ¡ÆC,38 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,41.300 V,0x99bbee,3.967 V,3.398 V,0.569 V,2 ¡ÆC,-35 ¡ÆC,37 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,40.000 V,0x5577aa,3.985 V,3.559 V,0.426 V,0 ¡ÆC,-32 ¡ÆC,32 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,44.500 V,0x6688bb,3.955 V,3.361 V,0.594 V,3 ¡ÆC,-38 ¡ÆC,41 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,43.500 V,0x7799cc,3.833 V,3.202 V,0.631 V,2 ¡ÆC,-40 ¡ÆC,42 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,40.800 V,0x88aadd,3.971 V,3.447 V,0.524 V,4 ¡ÆC,-32 ¡ÆC,36 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,40.700 V,0x99bbee,3.819 V,3.588 V,0.231 V,6 ¡ÆC,-31 ¡ÆC,37 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,42.000 V,0x5577aa,3.903 V,3.413 V,0.490 V,6 ¡ÆC,-40 ¡ÆC,46 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,41.100 V,0x6688bb,3.855 V,3.291 V,0.564 V,7 ¡ÆC,-36 ¡ÆC,43 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,44.400 V,0x7799cc,3.846 V,3.591 V,0.255 V,4 ¡ÆC,-32 ¡ÆC,36 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
2024-02-13_16:56:48,41.900 V,0x88aadd,3.928 V,3.399 V,0.529 V,4 ¡ÆC,-31 ¡ÆC,35 ¡ÆC,1009,-430.1,45.7,ON,ON,Fault ,9029
